Hotel,Dirección,mail,Teléfono,Fax,Website
Family Club Princess,77710 Playa del Carmen Quintana Roo,ventasnacional.riviera@princess-hotels.com,(984) 877 3550,,https://www.princess-hotels.com/en/hotels/riviera-maya/family-club-princess
Grand Palladium TRS Yucatán,,/rivieramaya.org.mx/Hotel/concierge.cun@grandluxxe.com,(984) 877 2100,,http://www.palladiumhotelgroup.com
Grand Palladium White Sand & Spa,"Building 4 Kantenah, Mx.",kantenah@fiestahotelgroup.com,(984) 877 2100,(984) 877 2101,http://www.fiestahotelgroup.com
Grand Sirenis Maya Beach,"Zona Costera, Km. 256.3, Akumal  ",info@sirenishotels.com,(984) 875 1700,(984) 875 9419,http://www.sirenishotels.com
Grand Sirenis Riviera Maya,"Zona Costera, Km. 256.3,  ",info@sirenishotels.com,(984) 875 1700,(984) 875 9419,http://www.sirenishotels.com
Grand Riviera Princess,77710 Playa del Carmen   ,ventasnacional.riviera@princess-hotes.com,(984) 877 3500,(984) 877 3500,https://www.princess-hotels.com/es/hoteles/riviera-maya/grand-riviera-princess
Grand Sunset Princess,77710 Playa del Carmen    ,ventasnacional.riviera@princess-hotels.com,(984) 877 3500,,https://www.princess-hotels.com/es/hoteles/riviera-maya/grand-sunset-princess
GRAND SUNSET PRINCESS,"77710 Playa del Carmen, Q.R.    ",rrpp.concierge.riviera@princess-hotels.com,(984) 877 3500,,http://www.princess-hotels.com
Grand Velas Riviera Maya,Playa del Carmen    ,agreservas1rm@grandvelas.com,(984) 206 3180,,http://www.rivieramaya.grandvelas.com
Hacienda Paradise,Playa del Carmen     ,reservashp@xperiencehotelsresorts.com,(984) 873 1397,(984) 873 1398,http://www.haciendaparadise.com
Hard Rock Hotel Riviera Maya,"Riviera Maya, Quintana Roo  ",rromero@hrhrivieramaya.com,(984) 875 1100,,http://www.palaceresorts.com
Hacienda Tres Ríos,"Playa del Carmen, QR 77710.     ",sales@haciendatresrios.com,(984) 877 2400,(984) 877 2452,http://www.haciendatresrios.com
Hilton Playa del Carmen,"Playa del Carmen,  ",gerenciadresort@eldorado-resort.com,(984) 877 2900,(984) 877 2999,http://www.resortsbyhilton.com/playa-del-carmen
Hacienda Hidden Beach Resort,"Playa del Carmen, QR 77710",gerenciadresort@eldorado-resort.com,(984) 875 7000,(984) 875 1911,http://www.hiddenbeachresort.com 
Hotel Aspira,Playa del Carmen 77710,reservas@tukanhotels.com,(984) 873 1255,,http://wwww.tukanhotels.com
Blue Diamond by Blue Bay,"Punta Maroma, Playa del Carmen     ",reservas.bbdiamond@bluebayresorts.com,(984) 206 4100,,http://wwww.tukanhotels.com
Hotel Aventura Mexicana,Playa Del Carmen     ,reservations@aventuramexicana.com,(984) 873 1876,(984) 873 1876,http://www.aventuramexicana.com
Hotel Chable Maroma, ,reservations@chablemaroma.com,(998) 387 0044,,http://www.chablemaroma.com
Hotel Colibrí Beach,"77710, Centro, Playa Del Carmen  ",info@hotelcolibribeach.com,(984) 803 1090,,http://www.hotelcolibribeach.com
Hotel Esencia,"Predio rústico xpu-ha, fracción 15 y 16 l 18 y 19.     ",reservations@hotelesencia.com,(984) 873 4838,(984) 873 4836,http://www.hotelesencia.com
Hotel HM Playa del Carmen,"Entre 15 y 20 Norte, Playa del Carmen,",reservasplayadelcarmen@hmhotels.net,(984) 206 4646,,http://www.hmhotels.net
Hotel Fairmont Mayakoba,"Playa del Carmen,     ",leticia.lastra@fairmont.com,(984) 206 3000,(984) 206 3030,http://www.fairmont.com
Hotel Hul Ku,"Playa del Carmen,  ",info@hotelhulku.com,(984) 8730021,,http://www.hotelhulku.com
Hotel Labnah,77710 Playa del Carmen    ,reservations@labnah.com,(984) 873 2099,,http://www.labnah.com/
Hotel Le Reve & Spa,"Playa del Carmen, CP 77726,  ",info@hotellereve.com,(984) 206 3295,,http://www.hotellereve.com
Hotel LunaSol,"Playa del Carmen Q, Roo.  ",info@lunasolhotel.com,(984) 873 3933,(984) 873 3929,http://www.lunasolhotel.com/
Hotel Nautilus,"Playa del Carmen Q, Roo  ",info@hotelnautilus.com,(984) 873 3708,(984) 873 3708,http://www.hotelnautilus.com.mx
Hotel Nina & Beach Club,Playa del Carmen 77710    ,reservas@tukanhotels.com,(984) 873 1255,,http://www.tukanhotels.com 
Pavo Real Beach Resort Tulúm,"Quintana Roo, C.P. 77780",www.pavorealtulum.com,(984) 875 7100,,http://pavo-real.hotels-quintanaroo.com/es/
Hotel Quinto Sol Boutique,Playa del Carmen    ,info@hotelquintosol.com,(984) 873 3292,(984) 873 3294,http://www.hotelquintosol.com
Hotel Plaza Playa,"PLAYA DEL CARMEN, Q.ROO C.P. 77710",mileniocancun@yahoo.com,(984) 803 0739,(984) 803 0739,http://www.hotelplazaplaya.com
Hotel Tukan & Beach Club,Playa del Carmen 77710,mileniocancun@yahoo.com,(984) 873 4360,(984) 873 1255,http://www.tukanhotels.com%20 
Hotel Xcaret México,C.P. 77710 Solidaridad  ,atellez@hotelxcaret.com,(984) 159 1600,,http://www.hotelxcaret.com
Iberostar Grand Paraíso, ,rpparaiso@iberostar.com,(984) 877 2800,,http://www.iberostar.com
Iberostar Paraíso Beach,"Q. Roo, MX.",rpparaiso@iberostar.com,(984) 877 2800,(984) 877 2811,http://www.iberostar.com
Iberostar Paraíso del Mar,"Q. Roo, MX.",rpparaiso@iberostar.com,(984) 877 2800,(984) 877 2811,http://www.iberostar.com
Iberostar Paraíso Líndo,"Q. Roo, MX.",rpparaiso@iberostar.com,(984) 877 2800,(984) 877 2813,http://www.iberostar.com
Iberostar Paraíso Maya,"Q. Roo, MX.",rpparaiso@iberostar.com,(984) 877 2800,(984) 877 2811,http://www.iberostar.com
Iberostar Quetzal & Tucán,"Q. Roo, MX.",rrpptucque@iberostar.com,(984) 877 2000,(984) 873 0424,http://www.iberostar.com
Illusion Boutique Hotel,"Playa del Carmen, México, 77710.",reservaciones@ilusionhotel.com,(984) 803 3980,(984) 803 2576,http://www.illusionhotel.com%20 
Iberostar Playa Paraíso,"Q. Roo, MX.",rpparaiso@iberostar.com,(984) 877 2800,(984) 877 2811,http://www.iberostar.com%20 
Kin Sol Soleil,"Solidaridad, Q.Roo    ",reservations@amartemaroma.com,(984) 872 8339,(984) 803 2576,http://www.kinsolsoleil.com/
Las Golondrinas,"Playa del Carmen,  ",info@hotellasgolondrinas.com,(984) 873 2805 / 2808,(984) 873 2805 / 2808,http://www.kinbe.com/
Kinbe,"Playa del Carmen, Toll Free Numbers: EEUU / CANADA 1-8",reservation@kinbe.com,(984) 873 0441,(984) 873 2215,http://www.kinbe.com
Las Villas Akumal,"Q. Roo, MX.",reservations@lasvillasakumal.com,(984) 875 7050,(984) 875 7070,http://www.lasvillasakumal.com
Lat 20 by Live Aqua,C.P. 77710,info@hotelcacao.com,(984) 206 4199,,http://www.hotelcacao.com.mx
Luxury Bahía Príncipe Sian Ka’an,"Q. Roo, MX 77760",gerenteventascompmex@bahia-principe.com,(984) 875 5000,,http://www.bahia-principe.com
Luxury Bahía Príncipe Coba,Akumal 77760,info.coba@bahia-principe.com,(984) 895 5000,(984) 875 5004,http://www.bahia-principe.com
Live Aqua Boutique Resort,"77710 Playa del Carmen, Q.R.",hshccpc@posadas.com,(984) 206 4199,,https://www.fiestainn.com/es/web/live-aqua-boutique-resort-playa-del-carmen
Mahekal Beach Resort,"Playa del Carmen,  ",info@shangrilacaribe.net,(984) 873 0611,(984) 873 0500,http://www.shangrilacaribe.net
Maroma Resort & Spa,"Q. Roo, MX 77710",info.coba@bahia-principe.com,(998) 872 8200,,http://www.maromahotel.com
Marquee Playa Hotel,"77710 Playa del Carmen,  ",monique@coteliergroup.com,(984) 163 6442,,http://www.cotelierhotels.com
Maya Bric, ,info@mayabric.com,(984) 873 0011,(984) 873 1355,http://www.mayabric.com
Maya Inn,Playa del Carmen.  ,hotelmayainn@hotelmayainn.com,(984) 873 2796,(984) 803 0522,http://www.hotelmayainn.com
Mistik Getaways & Resorts,"COL. ZAZIL-HA MUNICIPIO DE SOLIDARIDAD, PLAYA DEL CARMEN,  ",reservations@mistik.com,(984) 803 5250,,http://www.mistik.com.mx%20 
Mayan Palace,"Cancún-Playa del Carmen, Mpio. Solidaridad,  ",conciergerm@mayanpalace.com,(984) 206 4000,(984) 206 4050,http://www.mayanpalace.com
Mungata Boutique Hotel,"77727 Playa del Carmen, Q.R.",reservas@mvngatahotel.com,(984) 110 7574,,http://www.mvngatahotel.com
Newport House Playa,Playa del Carmen  ,monique@coteliergroupmistik.com,(984) 859 1509 / 859 1557,,https://www.lifehousehotels.com
Occidental at Xcaret Destination,"Playa del Carmen,  ",reuan@mx.occidentalhotels.com,(984) 871 5400,(984) 871 5406,http://www.occidentalhotels.com
Ocean Breeze,"Mpio. Solidaridad,  ",reservaciones@oceanbreezehotels.com,(984) 206 4000,(984) 206 4050,http://www.oceanbreezehotels.com
Ocean Maya Royale,"Playa del Carmen Q.Roo, México. C.P 77710.",h10.elmandarin@h10.es,(984) 873 4700,(984) 873 4701,http://www.oceanhotels.net
Ocean Riviera Paradise,y Predio Punta Bete Lote 15-5.  ,sales.orp@oceanhotels.net,(984) 159 1800,,http://www.oceanhotels.net
Pa Beach Club & Hotel,"Col. Puerto Aventuras, Solidaridad,  ",reservas@puertoaventurashotel.com,(984) 875 1950,,http://www.puertoaventurashotel.com
Paradisus Playa del Carmen,,paradisus.playadelcarmen@melia.com,(984) 877 3900,(984) 877 3900,http://www.paradisus.com
One Playa del Carmen,"Playa del Carmen, Q. Roo, C.P. 77710",gsh1pcce@posadas.com,(984) 877 3060,(984) 879 4220,http://www.onehotels.com
Panamá Jack Resort,"Playa del Carmen, Q. Roo, MX 77710.",panamajackplaya-reservations@playaresorts.com,(984) 873 4000 / 01 800 216 55 00,,http://www.panamajackresorts.com/playa-del-carmen
Petit Lafitte,"Playa del Carmen, Q. Roo, MX.",reservaciones@petitlafitte.com,(984) 877 4000,,http://www.petitlafitte.com
Platinum Yucatán Princess,"Playa del Carmen,  ",g.monsalve@princess-hotels.com,(984) 148 6600,,http://www.petitlafitte.com
Platinum Yucatán Princess,77710 Playa del Carmen Quintana Roo,ventasnacional.riviera@princess-hotels.com,(984) 148 6600,,https://www.princess-hotels.com/es/hoteles/riviera-maya/platinum-yucatan-princess
Playa del Carmen Hotel by H&A,C.P. 77710 Playa del Carmen Q. Roo,info@playa-del-carmen-hotel.de,(984) 873 3177,(984) 873 3178,http://www.playa-del-carmen-hotel.com.mx
Playa Maya,"Playa del Carmen,  ",reservations@playamaya.com,(984) 803 2022 y 23,(984) 803 2022 y 23,mailto:reservaciones@playamaya.com
Playacar Palace,"Playa del Carmen,  ",reservmex@palaceresorts.com,(984) 873 4960,(984) 873 4961,http://www.palaceresorts.com
Playacar Vacation Rentals,"77710 Playa del Carmen, QROO",info@playacarvacationrentals.com,(984) 873  0418 ,,http://www.playacarvacationrentals.com
Posada Mariposa,"Playa del Carmen,",info@posada-mariposa.com,(984) 878 1016,(984) 878 2036,http://www.playacarvacationrentals.com/
Reina Roja,"Playa del Carmen, Q. Roo México.",sales@reinarojahotel.com,(984) 879 3123,(984) 879 3123,http://www.playacarvacationrentals.com/
Riviera del Sol,"Playa del Carmen,",mail@rivieradelsol.com,(984) 873 3100-02,(984) 873 3104,http://www.playacarvacationrentals.com/
Rosewood Mayakoba,"Playa del Carmen 77710, México.",mayakoba@rosewoodhotels.com,(984) 875 8000,,http://www.rosewoodmayakoba.com
Riviera Caribe Maya,"Playa del Carmen,",info@hotelrivieramaya.com,(984) 873 1194,(984) 873 2311,http://www.playacarvacationrentals.com/
Royal Hideaway Playacar,"77710 Playa del Carmen México, México.",playacar@royalhideaway.com,(984) 873 4500,,https://www.barcelo.com
Secrets Akumal Riviera Maya, ,reservations.searm@secretsresorts.com,(984) 875 7600,,http://www.secretsresorts.com
Secrets Capri Riviera Cancún,"Riviera Maya, Q. Roo, MX 77711.",info.secrc@secretsresorts.com,(984) 873 4880,,http://www.secretsresorts.com
Sense 5ta. Avenida by Artisan,"Playa del Carmen,  ",reservations@artisanhotels.mx,(984) 148 6400 / 6401,,http://%20www.artisanhotels.mx
Siesta Fiesta Hotel, ,recepcionsiestafiesta@hotmai.com,(984) 803 1166,(984) 803 1166,http://www.siestafiestahotelplaya.com
Sunscape Akumal Beach,Tulum Qroo. C.P. 77780,sales.suarm@sunscaperesorts.com,(984) 875 7300,,http://oasishoteles.net/hotels/grand-oasis-tulum.php
Secrets Maroma Beach Riviera,      ,info@secretsmaromabeach.com,(984) 877 3600,(984) 877 3600,http://www.secretsresorts.com/
Sunset Fishermen,"Q: Roo, MX 77710",reservations@sunset.com,(984) 873 4950,(984) 873 1390,http://www.sunsetworld.net
Nomade Tulum,"77880 Tulum, QROO",info1@nomadetulum.com,(984) 980 0639,,mailto:guestexperience@nomadetulum.com
The Bliss,"Mpio. Solidaridad, Q.Roo CP 777110",concierge.cun@theblissresorts.com,(984) 206 4000,(984) 206 4050,http://www.thebliss.com
The Bric Hotel,Playa del Carmen 77710,joaquin@bricinternational.com,(984) 873 2005,,http://www.thebrichotel.com
The Grand Bliss,"Mpio. Solidaridad, Q.Roo CP 777114",concierge.cun@theblissresorts.com,(984) 206 4000,,http://www.theblissresorts.com.mx
The Grand Mayan,"Mpio. Solidaridad, Q.Roo CP 777110",concierge.cun@grandmayan.com,(984) 206 4000,(984) 206 4050,http://www.theblissresorts.com.mx
The Reef,"Playa del Carmen, Q.Roo.",sales@thereefplayacar.com,(984) 873 4120,(984) 873 2003,http://www.thereefplayacar.com
The Fives Downtown,"Quintana Roo, C.P. 77710",azarfino@tmgrupoinmobiliario.com,(984) 877 2752,,http://www.thefives.com.mx
The Reef Cocobeach,"Playa del Carmen Q. Roo, MX CP. 77710.",sales@grandcocobay.com,(984) 877 2880,(984) 877 2890,http://www.thereefplayacar.com
The Royal Resorts, ,aestrada@royalresorts.com,(984) 206 3110,(984) 206 3111,http://www.royalresorts.com
The Shore 46 Hotel,COL. ZAZIL HA  ,info@theshore46hotel.com,(984) 803 0598,,https://www.theshore46hotel.com
Thompson Playa del Carmen,"Playa del Carmen, Q.R. 77710",playareservations@thompson.com,(984) 206 4800,,http://www.thompsonhotels.com
Unic Design Hotel,"Playa del Carmen, Quintana Roo, México",sales@unicdesignhotel.com,(984) 879 4139,,http://unicdesignhotel.com.mx
UNICO 20°N 87°W, ,iyeo@unicohotelrm.com,(984) 875 7700 ,,http://www.unicohotelrivieramaya.com
Valentin Imperial Maya,"Playa del Secreto , Quintana Roo México",reservations@valentinhotels.com,(984) 206 3660,(984) 206 3200,http://www.valentinmaya.com
Viceroy Riviera Maya, ,vrm.reservations@viceroyhotelsandresort.com,(984) 877 3000,(984) 877 3001,mailto:butlerservice@viceroyhotelsandresorts.com
Viva Wynham Maya,"Playa del Carmen, Q. Roo, MX 77710",reservas.maya@vivaresorts.com,(984) 873 4600,(984) 873 4624,http://ww.vivaresorts.com
Viva Wyndham Azteca,"Playa del Carmen, Q. Roo, MX 77710",reservas.azteca@vivaresorts.com,(984) 877 4100,(984) 877 4138,http://ww.vivaresorts.com
Wyndham Garden,"Playa Del Carmen, Quintana Roo 77710",recepcion.cunpl@hotelesprisma.com,(984) 206 3434,(984) 206 3434,https://www.hotelesprisma.com
